CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0,0.7093961182694941,0,-0.3405702765024742,-0.28729751267083936,-0.29080029745658886,-0.2766475088808324,-0.26900715375281276,False
0,-0.336697967108915,0,-0.17535351665198856,-0.28165287985465615,-0.24895351102943308,0.21149313175740528,-0.23018107949404998,True
0,2.034448626415479,0,-0.2753930226165028,1.9555032596259563,-0.29080029745658886,5.693961602022202,-0.22576902560100875,False
0,0.2909584841181305,0,-0.3405702765024742,0.5173762543472784,0.33020601312240294,2.6833164122206123,-0.09870187348142145,False
0,-0.8946148126440665,0,0.1187020008800684,-0.2433948129894144,-0.03804570743656793,0.22571945279604244,-0.2672423321955963,True
0,1.058094146728964,0,-0.3405702765024742,0.015631115130992936,-0.29080029745658886,-0.017906294990618986,-0.26900715375281276,True
0,-0.1972187557251271,0,-0.2769087727068742,0.6779346988964897,-0.28577868308533017,-0.2766475088808324,-0.26900715375281276,True
1,-0.0577395443413392,0,-0.3405702765024742,-0.28729751267083936,-0.29080029745658886,-0.2766475088808324,-1.0031849099144041e-16,True
0,0.4304376955019184,0,-0.3405702765024742,0.20503990518514068,-0.2623444826861229,-0.08459217485923069,-0.26900715375281276,True
1,-1.0340940240278544,0,-0.3405702765024742,-0.28729751267083936,-0.29080029745658886,-0.2766475088808324,-0.26900715375281276,True
1,0.36069808981002444,0,-0.3405702765024742,-0.28729751267083936,4.7574288177151835e-17,-0.2766475088808324,-0.26900715375281276,True
0,1.1278337524208577,0,-0.2814560229779885,4.287990975557663,0.6951099907672014,-0.1788415517402019,-0.15958821720539038,True
0,0.22121887842623655,0,-0.22992051990535994,-0.28729751267083936,1.588957348851249,-0.2766475088808324,-0.16929473577008106,True
0,1.3370525694965396,0,0.7492540384745822,-0.286670331246819,-0.1819986527459838,-0.2766475088808324,-0.24782929506621487,False
0,-0.0577395443413392,0,-0.32844427577950275,0.3235771943249881,-0.27071383997155407,-0.27486921875100273,-0.26283027830255506,True
0,0.1514792727343426,0,-0.29206627361058846,-0.28729751267083936,1.1755110989509499,-0.2766475088808324,-0.26900715375281276,False
0,-0.12747915003323315,0,1.6086843397151815,-0.21078137894035584,4.7574288177151835e-17,-0.2766475088808324,-0.26900715375281276,False
0,-0.336697967108915,0,-0.3405702765024742,-0.286670331246819,-0.29080029745658886,-0.2766475088808324,0.29308851222063936,False
1,1.1278337524208577,0,-0.3405702765024742,-0.28729751267083936,-0.29080029745658886,-0.2766475088808324,-0.26900715375281276,True
